,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
220,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014-10-17,18000000,42340598,102544383
221,Captain America: The Winter Soldier,2014,136,7.7,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,178,2014-03-28,170000000,259746958,714401889
222,Nebraska,2013,115,7.7,Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013-11-15,12000000,17654912,24761360
223,Wreck-It Ralph,2012,101,7.7,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,2012-11-01,165000000,189412677,496511521
224,Midnight in Paris,2011,96,7.7,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,2011-05-20,30000000,56816662,162051975
225,The Lego Movie,2014,100,7.7,Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2014-02-06,60000000,258364131,468155841
226,Gravity,2013,91,7.7,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,417,2013-10-03,110000000,274092705,684657731
227,Star Trek Into Darkness,2013,132,7.7,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119,2013-05-16,190000000,228778661,467381584
228,The Social Network,2010,120,7.7,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2010-10-01,40000000,96962694,224922135
229,Skyfall,2012,143,7.7,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,2012-10-26,200000000,304360277,1110526981
230,Silver Linings Playbook,2012,122,7.7,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2012-11-16,21000000,132092958,236412453
231,Argo,2012,120,7.7,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2012-10-11,44500000,136025503,227140757
232,Frost/Nixon,2008,122,7.7,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2008-12-05,29000000,18622031,28452945
233,Changeling,2008,141,7.7,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2008-10-24,55000000,35739802,113805580
234,Flipped,2010,90,7.7,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2010-08-06,14000000,1755212,4294635
235,Zodiac,2007,157,7.7,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,672,2007-03-02,85000000,33080084,83027938
236,Lucky Number Slevin,2006,110,7.7,Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2006-04-07,27000000,22495466,55495466
237,Tangled,2010,100,7.7,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2010-11-24,260000000,200821936,582440151
238,Brokeback Mountain,2005,134,7.7,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2005-12-09,13900000,83043761,176980863
239,3:10 to Yuma,2007,122,7.7,James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2007-09-07,48000000,53606916,71171825
240,The Bourne Supremacy,2004,108,7.7,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,639,2004-07-23,85000000,176087450,311001124
241,Ray,2004,152,7.7,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2004-10-29,40000000,75305995,124823094
242,Harry Potter and the Goblet of Fire,2005,157,7.7,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,232,2005-11-18,150000000,291147424,886112502
